Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State_County_Year
271,221,50,0,0,0,0,80,55,40,0,0,198,73,0,AlabamaBaldwin2019
107,75,32,0,0,0,0,71,56,41,0,0,0,107,0,AlabamaClay2019
263,238,25,0,0,0,0,65,50,38,0,0,219,44,0,AlabamaColbert2019
361,303,58,0,0,0,0,90,54,39,0,0,306,55,0,AlabamaDeKalb2019
228,208,20,0,0,0,0,100,50,39,0,0,228,0,0,AlabamaElmore2019
279,201,78,0,0,0,0,90,58,44,0,0,201,78,0,AlabamaEtowah2019
280,230,50,0,0,0,0,77,55,38,0,0,181,99,0,AlabamaHouston2019
365,85,267,13,0,0,0,150,80,58,0,0,75,289,1,AlabamaJefferson2019
112,98,14,0,0,0,0,58,51,32,0,0,0,112,0,AlabamaLawrence2019
361,189,172,0,0,0,0,93,62,49,0,0,99,255,7,AlabamaMadison2019
352,167,185,0,0,0,0,82,64,52,0,0,69,283,0,AlabamaMobile2019
365,84,280,1,0,0,0,122,71,57,0,0,18,346,1,AlabamaMontgomery2019
365,247,118,0,0,0,0,93,58,45,0,0,145,220,0,AlabamaMorgan2019
363,195,168,0,0,0,0,84,63,48,0,0,64,299,0,AlabamaRussell2019
244,202,39,3,0,0,0,119,61,42,0,0,244,0,0,AlabamaShelby2019
354,287,67,0,0,0,0,67,54,38,0,0,115,239,0,AlabamaSumter2019
264,217,47,0,0,0,0,87,54,39,0,0,173,91,0,AlabamaTuscaloosa2019
121,119,2,0,0,0,0,55,29,14,0,0,0,121,0,AlaskaAleutians East 2019
365,254,102,5,4,0,0,163,67,32,5,0,0,285,75,AlaskaAnchorage 2019
317,302,13,1,1,0,0,185,34,13,0,0,0,212,105,AlaskaBethel 2019
360,355,5,0,0,0,0,82,44,36,0,0,348,12,0,AlaskaDenali 2019
365,205,121,18,16,1,4,503,103,44,0,6,98,258,3,AlaskaFairbanks North Star 2019
362,280,79,3,0,0,0,145,60,27,0,0,0,340,22,AlaskaJuneau 2019
118,111,6,1,0,0,0,140,28,11,0,0,0,118,0,AlaskaKenai Peninsula 2019
