"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/12/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/13/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/14/2024","AQS","540090011","1","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/15/2024","AQS","540090011","1","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/16/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/17/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/18/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/19/2024","AQS","540090011","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/20/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/21/2024","AQS","540090011","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/22/2024","AQS","540090011","1","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/23/2024","AQS","540090011","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/24/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/25/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/26/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/27/2024","AQS","540090011","1","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/28/2024","AQS","540090011","1","3","ug/m3 SC","3","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/29/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/30/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"01/31/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/01/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/02/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/03/2024","AQS","540090011","1","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/04/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/05/2024","AQS","540090011","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/06/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/07/2024","AQS","540090011","1","25","ug/m3 SC","23","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/08/2024","AQS","540090011","1","28","ug/m3 SC","26","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/09/2024","AQS","540090011","1","20","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/10/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/11/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/12/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/13/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/14/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/15/2024","AQS","540090011","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/16/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/17/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/18/2024","AQS","540090011","1","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/19/2024","AQS","540090011","1","19","ug/m3 SC","18","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/20/2024","AQS","540090011","1","28","ug/m3 SC","26","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/21/2024","AQS","540090011","1","28","ug/m3 SC","26","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/22/2024","AQS","540090011","1","24","ug/m3 SC","22","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/23/2024","AQS","540090011","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/24/2024","AQS","540090011","1","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/25/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/26/2024","AQS","540090011","1","22","ug/m3 SC","20","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/27/2024","AQS","540090011","1","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/28/2024","AQS","540090011","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"02/29/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/01/2024","AQS","540090011","1","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/02/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/03/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/04/2024","AQS","540090011","1","20","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/05/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/06/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/07/2024","AQS","540090011","1","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/08/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/09/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/10/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/11/2024","AQS","540090011","1","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/12/2024","AQS","540090011","1","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/13/2024","AQS","540090011","1","27","ug/m3 SC","25","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/14/2024","AQS","540090011","1","30","ug/m3 SC","28","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/15/2024","AQS","540090011","1","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/16/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/17/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/18/2024","AQS","540090011","1","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/19/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/20/2024","AQS","540090011","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/21/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/22/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/23/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/24/2024","AQS","540090011","1","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/25/2024","AQS","540090011","1","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/26/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/27/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/28/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/29/2024","AQS","540090011","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/30/2024","AQS","540090011","1","24","ug/m3 SC","22","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"03/31/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/01/2024","AQS","540090011","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/02/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/03/2024","AQS","540090011","1","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/04/2024","AQS","540090011","1","2","ug/m3 SC","2","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/05/2024","AQS","540090011","1","3","ug/m3 SC","3","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/06/2024","AQS","540090011","1","3","ug/m3 SC","3","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/07/2024","AQS","540090011","1","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/08/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/09/2024","AQS","540090011","1","24","ug/m3 SC","22","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/10/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/11/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/12/2024","AQS","540090011","1","3","ug/m3 SC","3","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/13/2024","AQS","540090011","1","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/14/2024","AQS","540090011","1","18","ug/m3 SC","17","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/15/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/16/2024","AQS","540090011","1","19","ug/m3 SC","18","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/17/2024","AQS","540090011","1","19","ug/m3 SC","18","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/18/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/19/2024","AQS","540090011","1","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/20/2024","AQS","540090011","1","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/21/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/22/2024","AQS","540090011","1","21","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/23/2024","AQS","540090011","1","24","ug/m3 SC","22","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/24/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/25/2024","AQS","540090011","1","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/26/2024","AQS","540090011","1","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/27/2024","AQS","540090011","1","19","ug/m3 SC","18","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/28/2024","AQS","540090011","1","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/29/2024","AQS","540090011","1","33","ug/m3 SC","31","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"04/30/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/01/2024","AQS","540090011","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/02/2024","AQS","540090011","1","19","ug/m3 SC","18","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/03/2024","AQS","540090011","1","25","ug/m3 SC","23","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/04/2024","AQS","540090011","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/05/2024","AQS","540090011","1","16","ug/m3 SC","15","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/06/2024","AQS","540090011","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
"05/07/2024","AQS","540090011","1","18","ug/m3 SC","17","","1","100.0000","81102","PM10 Total 0-10um STP","639","48260","Weirton-Steubenville, WV-OH","54","West Virginia","009","Brooke","40.394650973","-80.611812762"
